kode,display,nama_pemeriksaan,kategori,permintaan_hasil,sumber
37586-5,RF Penis Views W contrast intra corpus cavernosum,RF Corpora cavernosografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86401-7,RF Urinary bladder Views W contrast intra bladder,RF Cystogram W kontras intrabladder,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
25017-5,RF Urinary bladder and Urethra Views W contrast intra bladder,RF Cystourethrography,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38098-0,RF Lacrimal duct - bilateral Views W contrast intra lacrimal duct,RF Dacryocystography bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38827-2,RF Lacrimal duct - right Views W contrast intra lacrimal duct,RF Dacryocystography kanan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38099-8,RF Lacrimal duct - left Views W contrast intra lacrimal duct,RF Dacryocystography kiri,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30810-6,RF Lacrimal duct Views W contrast intra lacrimal duct,RF Dakriosistografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37192-2,RF Cervical spine Views W contrast intradisc,RF diskografi cervikal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37193-0,RF Lumbar spine Views W contrast intradisc,RF diskografi lumbal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
70933-7,RF Thoracic spine Views W contrast intradisc,RF Diskografi thorakal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30636-5,RF Colon Views for reduction W contrast PR,"RF Enema terapi, kontras atau udara, untuk reduksi intususepsi atau obstruksi intraluminal lain (seperti, ileus mekonium)",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38104-6,RF Spine epidural space Views W contrast IT,RF Epidurografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30815-5,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- W contrast retrograde,RF ERCP (Endoscopic Retrograde Cholangiopancreatography) diagnostik dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24678-5,RF Esophagus Views W contrast PO,RF Esofagografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30633-2,RF Esophagus Views W barium contrast PO,RF esofagus (esofagogram),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86395-1,RF videography Hypopharynx and Esophagus Views for swallowing function W speech and W barium contrast PO,RF Evaluasi faring dan bicara dinamik kompleks dengan cine atau rekaman video,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86410-8,RF Pharynx and Cervical esophagus Views W barium contrast PO,RF faring dan esofagus servikal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86437-1,RF Fistula Diagnostic W contrast intra fistula,RF fistulogram,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42702-1,RF Greater than 1 hour,RF Fluoroscopy dengan durasi lebih dari 1 jam,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39027-8,RF Guidance for needle localization of Unspecified body region,RF Fluoroskopi untuk lokalisasi jarum atau kateter vertebra untuk diagnostik atau terapetik,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
35912-5,RF Guidance for placement of catheter in Unspecified body region,"RF Fluoroskopi untuk mencari akses dan pemasangan kateter, penggantian kateter, atau pelepasan kateter;",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86400-9,RF Guidance for placement of needle in Unspecified body region,"RF Fluoroskopi untuk pemasangan jarum (contoh: biopsi, aspirasi, injeksi)",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
43574-3,RF Upper gastrointestinal tract and Small bowel Views W barium contrast PO,RF Followtrough,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24681-9,RF videography Hypopharynx and Esophagus Views,"RF Fungsi menelan, dengan cineradiografi/videoradiografi",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
88834-7,"RF Guidance for dilation of nephrostomy tract, ureter, or urethra","RF Guidance dilatasi nefrostomi, ureter, atau uretra;",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24680-1,RF Guidance for dilation of Esophagus,RF Guidance pelebaran esofagus,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
88834-7,"RF Guidance for dilation of nephrostomy tract, ureter, or urethra","RF guidance pelebaran nefrostomi, ureter, atau uretra",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24779-1,RF Guidance for percutaneous placement of nephrostomy tube of Kidney - bilateral-- W contrast via tube,RF guidance pemasangan kateter intra pelvis renalis secara perkutan untuk injeksi atau drainase;,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24570-4,RF Guidance for removal of calculus from Biliary duct common-- W contrast retrograde intra biliary,"RF guidance pengangkatan batu duktus biliaris pasca operasi, perkutaneus melalui saluran T-tube, basket, atau snare (seperti, teknik Burhenne),",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30628-2,RF Guidance for removal of foreign body of Unspecified body region,RF Guidance pengangkatan benda asing esofagus,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
25022-5,RF Uterus and Fallopian tubes Views W contrast IU,RF Histerosalfingografi (HSG),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24574-6,RF Biliary ducts and Gallbladder Views during surgery W contrast biliary duct,RF Intra-operatif cholangiografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
44214-5,RF Guidance for endoscopy of Biliary ducts-- W contrast retrograde,RF Kateterisasi endoskopi sistem duktus biliaris,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
44213-7,RF Guidance for endoscopy of Pancreatic duct-- W contrast retrograde,RF Kateterisasi endoskopi sistem duktus pankreatikus,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86403-3,RF Guidance for placement of catheter in Fallopian tube,RF Kateterisasi transcervical tuba fallopii,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24574-6,RF Biliary ducts and Gallbladder Views during surgery W contrast biliary duct,RF Kolangiografi dan pankreatografi intraoperatif,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86376-1,RF Biliary ducts Views W contrast via existing catheter,RF Kolangiografi dan/atau pankreatografi melalui kateter yang telah ada,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24575-3,RF Biliary ducts and Gallbladder Views W contrast percutaneous transhepatic,RF Kolangiografi perkutaneus transhepatik,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
44227-7,RF Colon Views W barium contrast PR,RF kolon dengan barium enema,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30815-5,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- W contrast retrograde,"RF Kombinasi kateterisasi endoskopi sistem duktus bilier dan pankreatikus,",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
48465-9,RF Larynx Views,RF Laringografi kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37567-5,RF Colon Views W contrast via colostomy,RF Lopografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86379-5,RF Small bowel Views for loop diversion,RF Lopografi distal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86379-5,RF Small bowel Views for loop diversion,RF Lopografi proksimal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42459-8,RF Gastrointestinal tract upper Views W contrast PO,RF Maagduodenography,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
43559-4,RF Urinary bladder and Urethra Views W contrast intra bladder during voiding,RF MCU (Micturating Cysto Urethrography),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24947-4,RF Cervical spine Views W contrast IT,RF Mielografi cervical,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30808-0,RF Cervical and thoracic and lumbar spine Views W contrast IT,"RF Mielografi cervical, thoracal, lumbal",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30811-4,RF Posterior fossa Views W contrast IT,RF mielografi fossa posterior dengan kontras IT,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24974-8,RF Lumbar spine Views W contrast IT,RF Mielografi lumbal degan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24974-8,RF Lumbar spine Views W contrast IT,RF Mielografi lumbosakral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38103-8,RF Spine Cervical and Spine Lumbar Views W contrast IT,RF Mielografi servikal & lumbal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24985-4,RF Thoracic spine Views W contrast IT,RF Mielografi torakal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42459-8,RF Gastrointestinal tract upper Views W contrast PO,RF OMD kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86413-2,RF Guidance for placement of long feeding tube in Gastrointestinal tract,"RF Pemasangan tabung gastrointestinal panjang (seperti Miller-Abbott), termasuk fluoroskopi dan film multipel,",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86409-0,RF Rectum Views for rectal dysfunction W barium contrast PR,RF Rectografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86388-6,RF Kidney and Ureter and Urinary bladder Views W contrast retrograde,RF RPG (Retrograde Pyelography) dengan kontras retrograde,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24902-9,RF Salivary gland Views W contrast intra salivary duct,RF Sialografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
26067-9,RF Salivary gland - bilateral Views W contrast intra salivary duct,RF Sialografi bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24912-8,RF Sinus tract Views W contrast intra sinus tract,RF sinus fistula atau abses dengan kontras intra sinus,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86398-5,RF Cerebral cisterns Views W contrast IT,RF Sisternografi kontras IT,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37569-1,RF Urinary bladder Views W contrast via suprapubic tube,RF Sistografi kontras suprapubik,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
25022-5,RF Uterus and Fallopian tubes Views W contrast IU,RF Sonde uterus,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
65799-9,RF Kidney - bilateral Single view for cyst,RF studi kista renal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24912-8,RF Sinus tract Views W contrast intra sinus tract,RF traktus sinus,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
25016-7,RF Urethra Views W contrast intra urethra,RF Urethrografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
25020-9,RF Urinary bladder and Urethra Views W contrast retrograde via urethra,RF Uretrosistografi retrograd,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24923-5,RF Small bowel Views W positive contrast via enteroclysis tube,RF usus halus melalui tabung enteroklisis,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
75853-2,RF Vagina Views W contrast VG,RF Vaginogram,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39151-6,RF Vas deferens Views W contrast intra vas deferens,RF Vasografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
70924-6,RF Guidance for percutaneous vertebroplasty of Lumbar spine,"RF Vertebroplasty lumbal perkutan dengan pedoman fluoroskopi,",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
70923-8,RF Guidance for percutaneous vertebroplasty of Cervical spine,"RF Vertebroplasty servikal perkutan dengan pedoman fluoroskopi,",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
70925-3,RF Guidance for percutaneous vertebroplasty of Thoracic spine,"RF Vertebroplasty thorakal perkutan dengan pedoman fluoroskopi,",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86440-5,RF Seminal vesicle Views W contrast intra seminal vesicle,RF vesikulogram,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30838-7,RFA Aorta and Femoral artery - bilateral Runoff W contrast IA,RFA aorta abdominal dengan iliofemoral ekstremitas bawah bilateral dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30837-9,RFA Abdominal Aorta Views W contrast IA,RFA aorta abdominal dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86394-4,RFA Thoracic Aorta Views W contrast IA,RFA aorta thorakal dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30834-6,RFA Renal artery - bilateral Views W contrast IA,RFA arteri ginjal bilateral dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86414-0,RFA Renal arteries - unilateral Views W contrast IA,RFA arteri ginjal unilateral dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39097-1,RFA Carotid artery - bilateral and Cerebral artery - bilateral Views W contrast IA,RFA arteri karotis bilateral dan arteri serebral bilateral dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39098-9,RFA Carotid artery.cervical.bilateral Views W contrast IA,RFA arteri karotis cervical bilateral dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37945-3,RFA Carotid artery.cervical - right Views W contrast IA,RFA arteri karotis cervical kanan dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38863-7,RFA Carotid artery.cervical - left Views W contrast IA,RFA arteri karotis cervical kiri dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37944-6,RFA Carotid artery and Cerebral artery - right Views W contrast IA,RFA arteri karotis dan arteri serebral kanan dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38862-9,RFA Carotid artery and Cerebral artery - left Views W contrast IA,RFA arteri karotis dan arteri serebral kiri dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30820-5,RFA Carotid artery.external - bilateral Views W contrast IA,RFA arteri karotis eksterna bilateral dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37948-7,RFA Carotid artery.external - right Views W contrast IA,RFA arteri karotis eksterna kanan dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37390-2,RFA Carotid artery.external - left Views W contrast IA,RFA arteri karotis eksterna kiri dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30829-6,RFA Internal thoracic artery Views W contrast IA,RFA arteri mammaria dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30830-4,RFA Pulmonary artery - bilateral Views W contrast IA,RFA arteri pulmonal bilateral dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86418-1,RFA Pulmonary arteries - unilateral Views W contrast IA,RFA arteri pulmonal unilateral dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30824-7,RFA Intercranial vessel and Neck Vessel Views W contrast,RFA arteri servikoserebral dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30824-7,RFA Intercranial vessel and Neck Vessel Views W contrast,RFA arteri vertebra cervical dan/atau intrakranial dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
25026-6,RFA Guidance for placement of venous filter in Inferior vena cava-- W contrast IV,RFA Guidance penempatan filter fena pada vena cava inferior,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86461-1,RFA Adrenal vessel Views,RFA pembuluh darah adrenal bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86461-1,RFA Adrenal vessel Views,RFA pembuluh darah adrenal unilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42157-8,RFA Extremity vessels Views W contrast IV,RFA pembuluh darah ekstremitas bilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
94095-7,RFA Extremity vessels Unilateral Views W contrast IV,RFA pembuluh darah ekstremitas unilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37640-0,RFA Renal vessels Views W contrast,RFA pembuluh darah ginjal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37640-0,RFA Renal vessels Views W contrast,RFA pembuluh darah ginjal bilateral dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30851-0,RFA Extremity lymphatic vessels - bilateral Views W contrast intra lymphatic,RFA pembuluh darah limfatik ekstremitas bilateral dengan kontras intra lymphatic,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38812-4,RFA Extremity lymphatic vessels - right Views W contrast intra lymphatic,RFA pembuluh darah limfatik ekstremitas kanan dengan kontras intra lymphatic,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37599-8,RFA Extremity lymphatic vessels - left Views W contrast intra lymphatic,RFA pembuluh darah limfatik ekstremitas kiri dengan kontras intra lymphatic,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37598-0,RFA Abdominal and pelvic lymphatic vessels - bilateral Views W contrast intra lymphatic,RFA pembuluh darah limfatik pelvis dan abdomen bilateral dengan kontras intra lymphatic,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38811-6,RFA Abdominal and pelvic lymphatic vessels - right Views W contrast intra lymphatic,RFA pembuluh darah limfatik pelvis dan abdomen kanan dengan kontras intra lymphatic,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37596-4,RFA Abdominal and pelvic lymphatic vessels - left Views W contrast intra lymphatic,RFA pembuluh darah limfatik pelvis dan abdomen kiri dengan kontras intra lymphatic,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37615-2,RFA Pelvis vessels Views W contrast,RFA pembuluh darah pelvis dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
64141-5,RFA Renal vessels - right Views W contrast,RFA pembuluh darah renal kanan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
64140-7,RFA Renal vessels - left Views W contrast,RFA pembuluh darah renal kiri,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86460-3,RFA Spine vessel Views,RFA pembuluh darah spinal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37981-8,RFA Visceral vessels Views W contrast,RFA pembuluh darah viseral dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30841-1,RFA Portal vein Views W contrast transhepatic,RFA percutaneous transhepatic portography dengan kontras transhepatic,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30816-3,RFA Peritoneum Views W contrast percutaneous intraperitoneal,RFA Peritoneogram,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24991-2,RFA Splenic vein and Portal vein Views W contrast IA,RFA splenoportografi dengan kontras IA,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
94094-0,RFA Unspecified body region Limited Views for therapy or embolization or infusion W contrast via existing catheter,RFA terapi transkateter infus dengan kontras melalui kateter,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30844-5,RFA Adrenal vein - bilateral Views W contrast IV,RFA vena adrenal bilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37940-4,RFA Adrenal vein - right Views W contrast IV,RFA vena adrenal kanan dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37602-0,RFA Adrenal vein - left Views W contrast IV,RFA vena adrenal kiri dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30845-2,RFA Inferior vena cava Views W contrast IV,RFA vena cava inferior dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30645-6,RFA Superior vena cava Views W contrast IV,RFA vena cava superior dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37412-4,RFA Extremity veins - bilateral Views W contrast IV,RFA vena ekstremitas bilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86396-9,RFA Extremity veins - unilateral Views W contrast IV,RFA vena ekstremitas unilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30819-7,RFA Epidural veins Views W contrast IV,RFA vena epidural dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30846-0,RFA Renal vein - bilateral Views W contrast IV,RFA vena ginjal bilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86415-7,RFA Renal vein - unilateral Views W contrast IV,RFA vena ginjal unilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39096-3,RFA Hepatic veins Views for hemodynamics W contrast IV,RFA vena hepatik evaluasi hemodinamik dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39093-0,RFA Hepatic veins Views W contrast IV,RFA vena hepatik tanpa evaluasi hemodinamik dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30825-4,RFA Orbit veins Views W contrast IV,RFA vena orbita dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37195-5,RFA Cerebral vein Views W contrast IV,RFA vena sinus sagitalis superior dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37969-3,RFA Sinus vein Views W contrast IV,RFA vena sinus venosus (petrosus dan sagital inferior) atau jugular dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24558-9,US Abdomen,US abdomen,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24558-9,US Abdomen,US abdomen atas,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24558-9,US Abdomen,US abdomen atas dan bawah,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24558-9,US Abdomen,US abdomen bawah,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30709-0,US Lower extremity,US ankle,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38013-9,US Lower extremity - bilateral,US ankle bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24548-0,US Appendix,US appendiks,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38130-1,US Lower extremity artery - bilateral,US arteri ekstremitas inferior bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
41815-2,US Lower extremity artery - right,US arteri ekstremitas inferior kanan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
41834-3,US Lower extremity artery - left,US arteri ekstremitas inferior kiri,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38014-7,US Upper extremity artery - bilateral,US arteri ekstremitas superior bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
41814-5,US Upper extremity artery - right,US arteri ekstremitas superior kanan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
41833-5,US Upper extremity artery - left,US arteri ekstremitas superior kiri,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24907-8,US Shoulder,US bahu,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
26265-9,US Shoulder - bilateral,US bahu bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24760-1,US Hip,US coxae,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
81164-6,US Pediatric limited Hip - bilateral,US coxae bayi bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24672-8,US Diaphragm for motion,US diafragma,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
94681-4,US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava and Illiac vessels,"US doppler aorta thoracal dan abdomen, vena cava inferior serta arteri iliaka",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
94680-6,US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava and Illiac vessels limited,"US doppler aorta thoracal dan abdomen, vena cava inferior serta arteri iliaka pemeriksaan terbatas",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42146-1,US.doppler Carotid arteries,US doppler arteri carotis,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80850-1,US.doppler Carotid arteries limited,US doppler arteri carotis pemeriksaan terbatas,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39031-0,US.doppler Extremity artery - bilateral,US doppler arteri ekstermitas bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39042-7,US.doppler Extremity artery,US doppler arteri ekstremitas,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
44237-6,US.doppler Upper extremity vessel - bilateral for graft limited,US doppler arteri ekstremitas atas atau grafting arteri bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39423-9,US.doppler Upper extremity artery - bilateral,US doppler arteri ekstremitas atas bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39506-1,US.doppler Upper extremity artery - right,US doppler arteri ekstremitas atas kanan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39500-4,US.doppler Upper extremity artery - left,US doppler arteri ekstremitas atas kiri,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38143-4,US.doppler Upper extremity artery limited,US doppler arteri ekstremitas atas terbatas,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42476-2,US.doppler Upper extremity vessel - right for graft,US doppler arteri ekstremitas atas untuk grafting arteri kanan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42475-4,US.doppler Upper extremity vessel - left for graft,US doppler arteri ekstremitas atas untuk grafting arteri kiri,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39421-3,US.doppler Lower extremity artery - bilateral,US doppler arteri ekstremitas bawah bilateral lengkap,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39505-3,US.doppler Lower extremity artery - right,US doppler arteri ekstremitas bawah kanan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39499-9,US.doppler Lower extremity artery - left,US doppler arteri ekstremitas bawah kiri,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38042-8,US.doppler Lower extremity artery limited,US doppler arteri ekstremitas bawah terbatas,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42462-2,US.doppler Lower extremity vessel - right for graft,US doppler arteri ekstremitas bawah untuk grafting arteri kanan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42461-4,US.doppler Lower extremity vessel - left for graft,US doppler arteri ekstremitas bawah untuk grafting arteri kiri,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24733-8,US.doppler Head vessels,US doppler arteri intra kranial pemeriksaan lengkap,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39044-3,US.doppler Head vessels limited,US doppler arteri intra kranial pemeriksaan terbatas,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80859-2,US.doppler Heart,US doppler echocardiografi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
